Website Index,Original Bushing Information - Original Bushing Manufacturer,Original Bushing Information - Catalog Number,Replacement Information - Replacement Bushing Manufacturer,Replacement Information - ABB Style Number
6,G.E.,11B1023BB,ABB,196W2530UD
7,G.E.,11B1032,ABB,196W1620UW
8,G.E.,11B1032BB,ABB,196W1620UW
1,PCORE,B-89311-70,ABB,034W1200UH
2,LAPP,B-88843-8-70,ABB,034Z3900AB
3,WEST,225,ABB,196X1216UP
4,G.E.,11B1021BB,ABB,196W1216UP
5,G.E.,11B1023,ABB,196X2530UD
9,G.E.,11B1037BB,ABB,550W2000UN
10,G.E.,11B1076BB,ABB,196W2000XB
11,G.E.,11B1088BB,ABB,196W1620DK
12,G.E.,11B1088BB,ABB,196W5000XS
13,G.E.,11B1090BB,ABB,362W0800VA
14,G.E.,11B1225BB,ABB,196W3000YB
15,G.E.,11B1226,ABB,196W1620DJ
16,G.E.,11B151,ABB,115X0900AG
17,G.E.,11B151BB,ABB,115W0900AG
18,G.E.,11B153,ABB,138X0800XG
19,G.E.,11B153BB,ABB,138W0800XG
31,G.E.,11B320BB,ABB,161W0800AA
32,G.E.,11B321,ABB,161X1216AK
33,G.E.,11B321BB,ABB,161W1216AK
34,G.E.,11B330,ABB,115X3000UC
35,G.E.,11B330BB,ABB,115W3000UC
36,G.E.,11B331,ABB,138X3000UA
37,G.E.,11B331BB,ABB,138W3000UA
38,G.E.,11B333BB,ABB,115W3100XL
39,G.E.,11B333,ABB,115X3100XL
40,G.E.,11B333BB,ABB,115W3100XL
41,G.E.,11B348BB,ABB,230W2000GB
42,G.E.,11B349BB,ABB,230W2000GA
43,G.E.,11B350,ABB,230W3000GC
44,G.E.,11B350BB,ABB,230W3000GC
45,G.E.,11B356,ABB,362W3000WG
46,G.E.,11B356BB,ABB,362W3000WG
48,G.E.,11B382BB,ABB,115W1620BD
49,G.E.,11B383,ABB,115X2530BH
50,G.E.,11B383BB,ABB,115W2530BH
51,G.E.,11B387,ABB,115X1620BB
52,G.E.,11B387BB,ABB,115W1620BB
53,G.E.,11B392,ABB,138X1620UE
54,G.E.,11B392BB,ABB,138W1620UE
55,G.E.,11B396,ABB,138X1216BH
56,G.E.,11B396BB,ABB,138W1216BH
57,G.E.,11B398,ABB,138X2530BD
58,G.E.,11B398BB,ABB,138W2530BD
59,G.E.,11B399,ABB,115X1620BJ
60,G.E.,11B399BB,ABB,115W1620BJ
61,G.E.,11B400,ABB,115X0800AA
62,G.E.,11B400BB,ABB,115W0800AA
64,G.E.,11B401BB,ABB,115W1216AK
65,G.E.,11B403,ABB,115X1620BC
66,G.E.,11B403BB,ABB,115W1620BC
68,G.E.,11B404BB,ABB,115W2530UA
69,G.E.,11B406,ABB,138X2530UF
70,G.E.,11B406BB,ABB,138W2530AD
72,G.E.,11B409BB,ABB,138Z1216AK
75,WEST,11B411BB,ABB,138W1216AK
77,G.E.,11B413,ABB,138W1620AC
